State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-001,"ST. JOSEPH SECONDARY SCHOOL, MANGORO","ST. JOSEPH SECONDARY SCHOOL, MANGORO, AGEGE",120,744,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76564/result_21438_1677481406_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-002,"15, SHOMIDE STREET","15, SHOMIDE STREET, AGEGE",111,716,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76565/result_21439_1677481568_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-004,"8, SEBIOTIMO STREET","8, SEBIOTIMO STREET, AGEGE",108,843,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,31,57,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76567/result_21441_1677481806_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-005,"6, SEBIOTIMO STREET","6, SEBIOTIMO STREET, AGEGE",114,731,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,28,66,5,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76568/result_21442_1677481951_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-006,WITHIN OLABI SQUARE,"WITHIN OLABI SQUARE, AGEGE",80,539,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,24,28,16,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76569/result_21443_1677482082_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-007,KAMORU ALIMI/SEBIOTIMO STREET I,"KAMORU ALIMI/SEBIOTIMO STREET I, AGEGE",128,676,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,19,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76570/result_21444_1677482144_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-008,KAMORU ALIMI/SEBIOTIMO STREET II,"KAMORU ALIMI/SEBIOTIMO STREET II, AGEGE",137,722,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,98,11,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76571/result_21445_1677482238_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-009,"18, MAYAKA STREET","18, MAYAKA STREET, AGEGE",114,815,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,62,42,4,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76572/result_21446_1677482303_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-010,COMMUNITY PRY. SCHOOL,"COMMUNITY PRY. SCHOOL, AGEGE",95,643,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,53,26,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76573/result_21447_1677482453_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-011,"2, OTUN STREET","2, OTUN STREET, AGEGE",95,476,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,29,52,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76574/result_21448_1677482625_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-012,"4, OTUN STREET","4, OTUN STREET, AGEGE",102,523,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,42,45,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76575/result_21449_1677482765_thumb.jpg
