State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-074,SALAM/OMOISREAL,"SALAM/OMOISREAL, ALIMOSHO, LAGOS",97,467,True,-1,False,False,False,False,UNKNOWN,50,26,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78300/result_24199_1677500717_thumb.jpg,30.170658,31.420465
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-075,AJE/SUNNY,"AJE/SUNNY, ALIMOSHO, LAGOS",114,671,True,-1,False,True,False,False,UNKNOWN,42,61,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78301/result_24200_1677500764_thumb.jpg,6.520518,3.332037
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-076,AMOKE ALASELA,"AMOKE ALASELA, ALIMOSHO, LAGOS",71,750,True,-1,False,False,False,False,UNKNOWN,43,11,3,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78302/result_24201_1677500737_thumb.jpg,,
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-077,AMOKE/RAJI RASAKI,"AMOKE/RAJI RASAKI, ALIMOSHO, LAGOS",155,608,True,-1,True,True,False,False,UNKNOWN,108,0,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78303/result_24202_1677500836_thumb.jpg,,
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-078,AMOKE/TEMIDIRE,"AMOKE/TEMIDIRE, ALIMOSHO, LAGOS",102,505,True,-1,True,False,False,False,UNKNOWN,62,18,16,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78304/result_24203_1677500556_thumb.jpg,,
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-079,AMOKE/ALAGBE I,"AMOKE/ALAGBE I, ALIMOSHO, LAGOS",93,457,True,-1,False,False,False,False,UNKNOWN,70,14,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78305/result_24204_1677500302_thumb.jpg,,
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-080,AMOKE/ALAGBE II,"AMOKE/ALAGBE II, ALIMOSHO, LAGOS",97,543,True,-1,False,False,False,False,UNKNOWN,66,18,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78306/result_24205_1677500097_thumb.jpg,3.067688,33.066686
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-081,ORISUNBARE/PEDRO,"ORISUNBARE/PEDRO, ALIMOSHO, LAGOS",53,342,True,-1,False,False,False,False,UNKNOWN,31,11,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78307/result_24206_1677499872_thumb.jpg,6.576668,3.306353
LAGOS,ALIMOSHO,PLEASURE/OKE-ODO,24-03-10-082,AKANDE OLORUNSOGO,"AKANDE OLORUNSOGO, ALIMOSHO, LAGOS",85,324,True,-1,False,True,False,False,UNKNOWN,43,8,12,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78308/result_24207_1677499752_thumb.jpg,6.60656,3.30235
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-001,REHABILITATION CENTRE ABULE EGBA,"REHABILITATION CENTRE ABULE EGBA, ALIMOSHO, LAGOS",95,750,True,-1,False,False,False,False,UNKNOWN,52,24,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78310/result_24231_1677517249_thumb.jpg,13.499134,144.798225
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-002,GATE OF COMMAND ARMY CHILD PRY. SCH. I,"GATE OF COMMAND ARMY CHILD PRY. SCH. I, ALIMOSHO, LAGOS",183,894,True,-1,False,False,False,False,UNKNOWN,68,95,2,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78311/result_24232_1677517257_thumb.jpg,33.138484,-96.860361
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-003,GATE OF COMMAND ARMY CHILD PRY. SCH. II,"GATE OF COMMAND ARMY CHILD PRY. SCH. II, ALIMOSHO, LAGOS",162,883,True,-1,False,False,False,False,UNKNOWN,63,68,9,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78312/result_24233_1677516743_thumb.jpg,33.138484,-96.860361
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-004,GATANKOWA/AKINOLA JUNCTION I,"GATANKOWA/AKINOLA JUNCTION I, ALIMOSHO, LAGOS",161,1010,True,-1,False,False,False,False,UNKNOWN,53,54,27,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78313/result_24234_1677517285_thumb.jpg,6.458683,3.387703
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-005,GATANKOWA/AKINOLA JUNCTION II,"GATANKOWA/AKINOLA JUNCTION II, ALIMOSHO, LAGOS",113,632,True,-1,False,False,False,False,UNKNOWN,39,60,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78314/result_24235_1677517263_thumb.jpg,,
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-006,OYETOLU/CHURCH ROAD NEAR  N.E.P.A,"OYETOLU/CHURCH ROAD NEAR  N.E.P.A, ALIMOSHO, LAGOS",81,462,True,-1,False,False,False,False,UNKNOWN,53,20,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78315/result_24236_1677517234_thumb.jpg,6.60656,3.30235
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-007,CHURCH RD./AFOLABI CRS.,"CHURCH RD./AFOLABI CRS., ALIMOSHO, LAGOS",172,750,True,-1,True,False,False,False,UNKNOWN,84,75,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78316/result_24237_1677517151_thumb.jpg,6.60656,3.30235
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-008,ILUSOLA AFOLABI STREET AGBELEKALE,"ILUSOLA AFOLABI STREET AGBELEKALE, ALIMOSHO, LAGOS",203,750,True,-1,False,False,False,False,UNKNOWN,88,93,8,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78317/result_24238_1677516668_thumb.jpg,6.64028,3.28694
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-009,FRONT OF 10 EKORO RD. ABULE-EGBA,"FRONT OF 10 EKORO RD. ABULE-EGBA, ALIMOSHO, LAGOS",142,797,True,-1,False,False,False,False,UNKNOWN,46,74,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78318/result_24239_1677516502_thumb.jpg,6.60656,3.30235
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-010,FRONT OF 39 EKORO RD. ABULE EGBA,"FRONT OF 39 EKORO RD. ABULE EGBA, ALIMOSHO, LAGOS",94,750,True,-1,False,True,False,False,UNKNOWN,42,39,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78319/result_24240_1677517467_thumb.jpg,6.60656,3.30235
LAGOS,ALIMOSHO,ABULE-EGBA/ABORU/MEIRAN/ALAGBADO,24-03-11-011,FRONT OF 66 EKORO RD. ABULE EGBA,"FRONT OF 66 EKORO RD. ABULE EGBA, ALIMOSHO, LAGOS",136,681,True,-1,False,False,False,False,UNKNOWN,46,80,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/78320/result_24241_1677517647_thumb.jpg,6.60656,3.30235
