State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
LAGOS,EPE,ABOMITI,24-07-08-022,OROPO/ORAFA VILLAGE,"OROPO/ORAFA VILLAGE, EPE, LAGOS",19,142,True,-1,False,False,False,False,UNKNOWN,15,0,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79429/result_26030_1677578685_thumb.jpg,,
LAGOS,EPE,ABOMITI,24-07-08-023,L.G. PRY. SCH. IMEKI/IDOMU,"L.G. PRY. SCH. IMEKI/IDOMU, EPE, LAGOS",33,250,True,-1,False,False,False,False,UNKNOWN,7,0,15,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79430/result_26031_1677579953_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-024,ILAMIJA KEKERE VILLAGE,"ILAMIJA KEKERE VILLAGE, EPE, LAGOS",50,317,True,-1,False,False,False,False,UNKNOWN,27,4,19,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79431/result_26032_1677580013_thumb.jpg,,
LAGOS,EPE,ABOMITI,24-07-08-025,LUMOFIN VILLAGE,"LUMOFIN VILLAGE, EPE, LAGOS",10,206,True,-1,False,False,False,False,UNKNOWN,6,0,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79432/result_26033_1677580084_thumb.jpg,6.56611,3.335981
LAGOS,EPE,ABOMITI,24-07-08-026,MUDANA VILLAGE,"MUDANA VILLAGE, EPE, LAGOS",37,236,True,-1,False,False,False,False,UNKNOWN,8,0,26,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79433/result_26034_1677580151_thumb.jpg,6.56611,3.335981
LAGOS,EPE,ABOMITI,24-07-08-028,AAPA VILLAGE,"AAPA VILLAGE, EPE, LAGOS",11,318,True,-1,True,False,False,False,UNKNOWN,8,0,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79435/result_26036_1677580067_thumb.jpg,66.877932,27.024578
LAGOS,EPE,ABOMITI,24-07-08-029,ABA ILAJE,"ABA ILAJE, EPE, LAGOS",12,83,True,-1,False,False,False,False,UNKNOWN,5,7,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79436/result_26037_1677578854_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-030,L.G. PRY. SCH. ABEJOYE,"L.G. PRY. SCH. ABEJOYE, EPE, LAGOS",11,70,True,-1,False,False,False,False,UNKNOWN,10,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79437/result_26038_1677580683_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-031,ITUN-KEJI,"ITUN-KEJI, EPE, LAGOS",6,73,True,-1,False,False,False,False,UNKNOWN,4,0,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79438/result_26039_1677580496_thumb.jpg,6.632098,3.337764
LAGOS,EPE,ABOMITI,24-07-08-032,TIYE VILLAGE,"TIYE VILLAGE, EPE, LAGOS",104,660,True,-1,False,False,False,False,UNKNOWN,72,6,16,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79439/result_26040_1677580884_thumb.jpg,6.56611,3.335981
LAGOS,EPE,ABOMITI,24-07-08-033,IMOBIDO VILLAGE,"IMOBIDO VILLAGE, EPE, LAGOS",73,537,True,-1,False,True,False,False,UNKNOWN,60,0,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79440/result_26041_1677580227_thumb.jpg,6.56611,3.335981
LAGOS,EPE,ABOMITI,24-07-08-034,L.G. PRY. SCH. ILEGE I,"L.G. PRY. SCH. ILEGE I, EPE, LAGOS",85,417,True,-1,False,False,False,False,UNKNOWN,62,4,18,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79441/result_26042_1677580298_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-035,L.G. PRY. SCH. ILEGE II,"L.G. PRY. SCH. ILEGE II, EPE, LAGOS",75,387,True,-1,False,False,False,False,UNKNOWN,56,2,14,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79442/result_26043_1677580427_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-036,IN FRONT OF L.G. DISP. IDASO I,"IN FRONT OF L.G. DISP. IDASO I, EPE, LAGOS",119,602,True,-1,False,True,False,False,UNKNOWN,105,2,12,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79443/result_26044_1677577644_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-037,IN FRONT OF L.G. DISP. IDASO I,"IN FRONT OF L.G. DISP. IDASO I, EPE, LAGOS",119,602,True,-1,False,False,False,False,UNKNOWN,107,9,28,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79443/result_26044_1677577644_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-038,AJEGUNLE VILLAGE,"AJEGUNLE VILLAGE, EPE, LAGOS",21,146,True,-1,False,False,False,False,UNKNOWN,11,0,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79445/result_26046_1677577960_thumb.jpg,6.521368,3.349448
LAGOS,EPE,ABOMITI,24-07-08-039,ETON VILLAGE,"ETON VILLAGE, EPE, LAGOS",1,118,True,-1,False,False,False,False,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79446/result_26047_1677580328_thumb.jpg,6.58412,3.98336
LAGOS,EPE,ABOMITI,24-07-08-040,MUDANA APETAUDA,"MUDANA APETAUDA, EPE, LAGOS",6,113,True,-1,False,False,False,False,UNKNOWN,2,1,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/79447/result_26048_1677579745_thumb.jpg,6.58412,3.98336
LAGOS,EPE,AGBOWA,24-07-09-001,BESIDE CENTRAL MOSQUE AGBOWA I,"BESIDE CENTRAL MOSQUE AGBOWA I, EPE, LAGOS",77,549,True,-1,False,True,False,False,UNKNOWN,50,8,17,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23357/pu/80276/80276-1677498093.pdf,51.54017,-0.154191
